TimeUTC,DeviceId,Label,BytesHex,Status,ErrorMsg
2022-04-28T17:43:15.976571+00:00,3765234104222-M9N,M9 auto-config 1/5,b562068a09000001000009009120015552,applied,
2022-04-28T17:43:16.489308+00:00,3765234104222-M9N,M9 auto-config 2/5,b562068a09000001000048039120019799,applied,
2022-04-28T17:43:17.008475+00:00,3765234104222-M9N,M9 auto-config 3/5,b562068a0900000100006800912001b42d,applied,
2022-04-28T17:43:17.523719+00:00,3765234104222-M9N,M9 auto-config 4/5,b562068a0900000100008e03912001ddf7,applied,
2022-04-28T17:43:18.041858+00:00,3765234104222-M9N,M9 auto-config 5/5,b562068a090000010000b70191200104bc,applied,
2022-04-28T17:42:55.027330+00:00,3765234104222-M9N,M9 auto-config 1/5,b562068a09000001000009009120015552,applied,
2022-04-28T17:42:55.546628+00:00,3765234104222-M9N,M9 auto-config 2/5,b562068a09000001000048039120019799,applied,
2022-04-28T17:42:56.067120+00:00,3765234104222-M9N,M9 auto-config 3/5,b562068a0900000100006800912001b42d,applied,
2022-04-28T17:42:56.585788+00:00,3765234104222-M9N,M9 auto-config 4/5,b562068a0900000100008e03912001ddf7,applied,
2022-04-28T17:42:57.104789+00:00,3765234104222-M9N,M9 auto-config 5/5,b562068a090000010000b70191200104bc,applied,
2022-04-28T17:42:54.163856+00:00,3765234104222-M9N,M9 auto-config 1/5,b562068a09000001000009009120015552,applied,
2022-04-28T17:42:54.681466+00:00,3765234104222-M9N,M9 auto-config 2/5,b562068a09000001000048039120019799,applied,
2022-04-28T17:42:55.199568+00:00,3765234104222-M9N,M9 auto-config 3/5,b562068a0900000100006800912001b42d,applied,
2022-04-28T17:42:55.717663+00:00,3765234104222-M9N,M9 auto-config 4/5,b562068a0900000100008e03912001ddf7,applied,
2022-04-28T17:42:56.235491+00:00,3765234104222-M9N,M9 auto-config 5/5,b562068a090000010000b70191200104bc,applied,
2022-04-28T17:42:55.052251+00:00,3765234104222-M9N,M9 auto-config 1/5,b562068a09000001000009009120015552,applied,
2022-04-28T17:42:55.570483+00:00,3765234104222-M9N,M9 auto-config 2/5,b562068a09000001000048039120019799,applied,
2022-04-28T17:42:56.086566+00:00,3765234104222-M9N,M9 auto-config 3/5,b562068a0900000100006800912001b42d,applied,
2022-04-28T17:42:56.608699+00:00,3765234104222-M9N,M9 auto-config 4/5,b562068a0900000100008e03912001ddf7,applied,
2022-04-28T17:42:57.126758+00:00,3765234104222-M9N,M9 auto-config 5/5,b562068a090000010000b70191200104bc,applied,
2022-04-28T17:45:33.890297+00:00,3765234104222-M9N,M9 auto-config 1/5,b562068a09000001000009009120015552,applied,
2022-04-28T17:45:34.411865+00:00,3765234104222-M9N,M9 auto-config 2/5,b562068a09000001000048039120019799,applied,
