TimeUTC,DeviceId,Label,BytesHex,Status,ErrorMsg
2026-01-25T02:53:10.832408+00:00,203244213156284-X20P,GEM auto-config,b562068a090000010000b70191200104bc,rejected,Device sent NACK
2026-01-25T02:56:52.307527+00:00,203244213156284-X20P,GEM auto-config,b562068a09000001000009009120015552,applied,
2026-01-25T02:56:52.639441+00:00,203244213156284-X20P,GEM auto-config,b562068a09000001000048039120019799,applied,
2026-01-25T02:56:53.141796+00:00,203244213156284-X20P,GEM auto-config,b562068a0900000100006800912001b42d,applied,
2026-01-25T02:56:53.639299+00:00,203244213156284-X20P,GEM auto-config,b562068a0900000100008e03912001ddf7,applied,
2026-01-25T02:56:54.141570+00:00,203244213156284-X20P,GEM auto-config,b562068a090000010000b70191200104bc,rejected,Device sent NACK
2026-01-25T03:07:07.655012+00:00,203244213156284-X20P,GEM auto-config,b562068a09000001000009009120015552,applied,
2026-01-25T03:07:07.996151+00:00,203244213156284-X20P,GEM auto-config,b562068a09000001000048039120019799,applied,
2026-01-25T03:07:08.504598+00:00,203244213156284-X20P,GEM auto-config,b562068a0900000100006800912001b42d,applied,
2026-01-25T03:07:09.013954+00:00,203244213156284-X20P,GEM auto-config,b562068a0900000100008e03912001ddf7,applied,
2026-01-25T03:07:09.543343+00:00,203244213156284-X20P,GEM auto-config,b562068a090000010000b70191200104bc,rejected,Device sent NACK
2026-01-25T03:12:59.089877+00:00,203244213156284-X20P,GEM auto-config,b562068a09000001000009009120015552,applied,
2026-01-25T03:12:59.460604+00:00,203244213156284-X20P,GEM auto-config,b562068a09000001000048039120019799,applied,
2026-01-25T03:12:59.949432+00:00,203244213156284-X20P,GEM auto-config,b562068a0900000100006800912001b42d,applied,
2026-01-25T03:13:00.441209+00:00,203244213156284-X20P,GEM auto-config,b562068a0900000100008e03912001ddf7,applied,
2026-01-25T03:13:00.956689+00:00,203244213156284-X20P,GEM auto-config,b562068a090000010000b70191200104bc,rejected,Device sent NACK
2026-01-25T03:15:04.959224+00:00,203244213156284-X20P,GEM auto-config,b562068a09000001000009009120015552,applied,
2026-01-25T03:15:05.485204+00:00,203244213156284-X20P,GEM auto-config,b562068a09000001000048039120019799,applied,
2026-01-25T03:15:05.980345+00:00,203244213156284-X20P,GEM auto-config,b562068a0900000100006800912001b42d,applied,
2026-01-25T03:15:06.471929+00:00,203244213156284-X20P,GEM auto-config,b562068a0900000100008e03912001ddf7,applied,
2026-01-25T03:15:06.966215+00:00,203244213156284-X20P,GEM auto-config,b562068a090000010000b70191200104bc,rejected,Device sent NACK
2026-01-25T03:19:06.823171+00:00,203244213156284-X20P,GEM auto-config,b562068a09000001000009009120015552,applied,
2026-01-25T03:19:07.202504+00:00,203244213156284-X20P,GEM auto-config,b562068a09000001000048039120019799,applied,
2026-01-25T03:19:07.718445+00:00,203244213156284-X20P,GEM auto-config,b562068a0900000100006800912001b42d,applied,
2026-01-25T03:19:08.228787+00:00,203244213156284-X20P,GEM auto-config,b562068a0900000100008e03912001ddf7,applied,
2026-01-25T03:19:08.718669+00:00,203244213156284-X20P,GEM auto-config,b562068a090000010000b70191200104bc,rejected,Device sent NACK
2026-01-25T03:56:12.309870+00:00,203244213156284-X20P,GEM auto-config,b562068a09000001000009009120015552,applied,
